-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-18.5,-63.5,2024,347,29.97
-18.5,-62.5,2024,347,29.22
-17.5,-63.5,2024,347,29.16
-17.5,-62.5,2024,347,28.7
-16.5,-63.5,2024,347,28.34
-16.5,-62.5,2024,347,28.36
-18.5,-63.5,2024,348,29.72
-18.5,-62.5,2024,348,29.13
-17.5,-63.5,2024,348,29.02
-17.5,-62.5,2024,348,28.8
-16.5,-63.5,2024,348,28.47
-16.5,-62.5,2024,348,28.7
-18.5,-63.5,2024,349,28.83
-18.5,-62.5,2024,349,28.22
-17.5,-63.5,2024,349,28.26
-17.5,-62.5,2024,349,27.88
-16.5,-63.5,2024,349,27.76
-16.5,-62.5,2024,349,27.77
-18.5,-63.5,2024,350,30.01
-18.5,-62.5,2024,350,29.5
-17.5,-63.5,2024,350,29.25
-17.5,-62.5,2024,350,29.0
-16.5,-63.5,2024,350,28.62
-16.5,-62.5,2024,350,28.72
-18.5,-63.5,2024,351,30.59
-18.5,-62.5,2024,351,30.24
-17.5,-63.5,2024,351,29.74
-17.5,-62.5,2024,351,29.56
-16.5,-63.5,2024,351,28.82
-16.5,-62.5,2024,351,28.97
-18.5,-63.5,2024,352,30.33
-18.5,-62.5,2024,352,30.11
-17.5,-63.5,2024,352,29.52
-17.5,-62.5,2024,352,29.57
-16.5,-63.5,2024,352,28.95
-16.5,-62.5,2024,352,29.15
-18.5,-63.5,2024,353,30.27
-18.5,-62.5,2024,353,29.59
-17.5,-63.5,2024,353,29.34
-17.5,-62.5,2024,353,29.13
-16.5,-63.5,2024,353,28.33
-16.5,-62.5,2024,353,28.32
-18.5,-63.5,2024,354,28.92
-18.5,-62.5,2024,354,28.35
-17.5,-63.5,2024,354,28.28
-17.5,-62.5,2024,354,27.9
-16.5,-63.5,2024,354,28.08
-16.5,-62.5,2024,354,27.72
-18.5,-63.5,2024,355,29.18
-18.5,-62.5,2024,355,28.61
-17.5,-63.5,2024,355,28.37
-17.5,-62.5,2024,355,28.14
-16.5,-63.5,2024,355,28.15
-16.5,-62.5,2024,355,28.16
-18.5,-63.5,2024,356,29.28
-18.5,-62.5,2024,356,28.81
-17.5,-63.5,2024,356,28.68
-17.5,-62.5,2024,356,28.44
-16.5,-63.5,2024,356,28.22
-16.5,-62.5,2024,356,28.33
-18.5,-63.5,2024,357,28.68
-18.5,-62.5,2024,357,28.61
-17.5,-63.5,2024,357,28.02
-17.5,-62.5,2024,357,28.24
-16.5,-63.5,2024,357,27.97
-16.5,-62.5,2024,357,27.81
-18.5,-63.5,2024,358,29.84
-18.5,-62.5,2024,358,28.92
-17.5,-63.5,2024,358,29.08
-17.5,-62.5,2024,358,28.47
-16.5,-63.5,2024,358,27.66
-16.5,-62.5,2024,358,28.24
-18.5,-63.5,2024,359,30.14
-18.5,-62.5,2024,359,29.34
-17.5,-63.5,2024,359,29.4
-17.5,-62.5,2024,359,28.92
-16.5,-63.5,2024,359,28.78
-16.5,-62.5,2024,359,28.65
-18.5,-63.5,2024,360,30.08
-18.5,-62.5,2024,360,29.98
-17.5,-63.5,2024,360,29.51
-17.5,-62.5,2024,360,29.38
-16.5,-63.5,2024,360,28.92
-16.5,-62.5,2024,360,28.74
-18.5,-63.5,2024,361,31.5
-18.5,-62.5,2024,361,31.5
-17.5,-63.5,2024,361,30.94
-17.5,-62.5,2024,361,31.04
-16.5,-63.5,2024,361,30.51
-16.5,-62.5,2024,361,30.65
-18.5,-63.5,2024,362,31.03
-18.5,-62.5,2024,362,31.11
-17.5,-63.5,2024,362,30.35
-17.5,-62.5,2024,362,30.73
-16.5,-63.5,2024,362,30.16
-16.5,-62.5,2024,362,30.57
-18.5,-63.5,2024,363,31.06
-18.5,-62.5,2024,363,31.0
-17.5,-63.5,2024,363,30.42
-17.5,-62.5,2024,363,30.63
-16.5,-63.5,2024,363,30.19
-16.5,-62.5,2024,363,30.55
-18.5,-63.5,2024,364,30.54
-18.5,-62.5,2024,364,30.42
-17.5,-63.5,2024,364,29.98
-17.5,-62.5,2024,364,30.07
-16.5,-63.5,2024,364,29.67
-16.5,-62.5,2024,364,30.06
-18.5,-63.5,2024,365,30.4
-18.5,-62.5,2024,365,30.46
-17.5,-63.5,2024,365,30.07
-17.5,-62.5,2024,365,30.13
-16.5,-63.5,2024,365,29.8
-16.5,-62.5,2024,365,30.05
-18.5,-63.5,2024,366,30.74
-18.5,-62.5,2024,366,30.25
-17.5,-63.5,2024,366,29.92
-17.5,-62.5,2024,366,29.81
-16.5,-63.5,2024,366,29.48
-16.5,-62.5,2024,366,29.56
-18.5,-63.5,2025,1,29.57
-18.5,-62.5,2025,1,29.22
-17.5,-63.5,2025,1,28.98
-17.5,-62.5,2025,1,28.8
-16.5,-63.5,2025,1,28.22
-16.5,-62.5,2025,1,28.75
-18.5,-63.5,2025,2,29.04
-18.5,-62.5,2025,2,28.78
-17.5,-63.5,2025,2,28.39
-17.5,-62.5,2025,2,28.35
-16.5,-63.5,2025,2,27.76
-16.5,-62.5,2025,2,28.46
-18.5,-63.5,2025,3,29.63
-18.5,-62.5,2025,3,28.76
-17.5,-63.5,2025,3,28.9
-17.5,-62.5,2025,3,28.29
-16.5,-63.5,2025,3,28.0
-16.5,-62.5,2025,3,28.4
-18.5,-63.5,2025,4,29.09
-18.5,-62.5,2025,4,28.38
-17.5,-63.5,2025,4,28.48
-17.5,-62.5,2025,4,27.94
-16.5,-63.5,2025,4,27.69
-16.5,-62.5,2025,4,28.05
-18.5,-63.5,2025,5,29.5
-18.5,-62.5,2025,5,28.83
-17.5,-63.5,2025,5,28.88
-17.5,-62.5,2025,5,28.43
-16.5,-63.5,2025,5,28.04
-16.5,-62.5,2025,5,28.56
-18.5,-63.5,2025,6,29.74
-18.5,-62.5,2025,6,28.81
-17.5,-63.5,2025,6,29.06
-17.5,-62.5,2025,6,28.45
-16.5,-63.5,2025,6,28.59
-16.5,-62.5,2025,6,28.37
