-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
LAT,LON,YEAR,DOY,IMERG_PRECTOT
-18.73,-64.3,2025,5,-999.0
-18.73,-62.23,2025,5,-999.0
-16.35,-64.3,2025,5,-999.0
-16.35,-62.23,2025,5,-999.0
-18.73,-64.3,2025,6,-999.0
-18.73,-62.23,2025,6,-999.0
-16.35,-64.3,2025,6,-999.0
-16.35,-62.23,2025,6,-999.0
-18.73,-64.3,2025,7,-999.0
-18.73,-62.23,2025,7,-999.0
-16.35,-64.3,2025,7,-999.0
-16.35,-62.23,2025,7,-999.0
-18.73,-64.3,2025,8,-999.0
-18.73,-62.23,2025,8,-999.0
-16.35,-64.3,2025,8,-999.0
-16.35,-62.23,2025,8,-999.0
-18.73,-64.3,2025,9,-999.0
-18.73,-62.23,2025,9,-999.0
-16.35,-64.3,2025,9,-999.0
-16.35,-62.23,2025,9,-999.0
-18.73,-64.3,2025,10,-999.0
-18.73,-62.23,2025,10,-999.0
-16.35,-64.3,2025,10,-999.0
-16.35,-62.23,2025,10,-999.0
-18.73,-64.3,2025,11,-999.0
-18.73,-62.23,2025,11,-999.0
-16.35,-64.3,2025,11,-999.0
-16.35,-62.23,2025,11,-999.0
-18.73,-64.3,2025,12,-999.0
-18.73,-62.23,2025,12,-999.0
-16.35,-64.3,2025,12,-999.0
-16.35,-62.23,2025,12,-999.0
-18.73,-64.3,2025,13,-999.0
-18.73,-62.23,2025,13,-999.0
-16.35,-64.3,2025,13,-999.0
-16.35,-62.23,2025,13,-999.0
-18.73,-64.3,2025,14,-999.0
-18.73,-62.23,2025,14,-999.0
-16.35,-64.3,2025,14,-999.0
-16.35,-62.23,2025,14,-999.0
-18.73,-64.3,2025,15,-999.0
-18.73,-62.23,2025,15,-999.0
-16.35,-64.3,2025,15,-999.0
-16.35,-62.23,2025,15,-999.0
-18.73,-64.3,2025,16,-999.0
-18.73,-62.23,2025,16,-999.0
-16.35,-64.3,2025,16,-999.0
-16.35,-62.23,2025,16,-999.0
-18.73,-64.3,2025,17,-999.0
-18.73,-62.23,2025,17,-999.0
-16.35,-64.3,2025,17,-999.0
-16.35,-62.23,2025,17,-999.0
-18.73,-64.3,2025,18,-999.0
-18.73,-62.23,2025,18,-999.0
-16.35,-64.3,2025,18,-999.0
-16.35,-62.23,2025,18,-999.0
-18.73,-64.3,2025,19,-999.0
-18.73,-62.23,2025,19,-999.0
-16.35,-64.3,2025,19,-999.0
-16.35,-62.23,2025,19,-999.0
