-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-18.5,-63.5,2023,356,28.81
-18.5,-62.5,2023,356,28.23
-17.5,-63.5,2023,356,28.18
-17.5,-62.5,2023,356,27.91
-16.5,-63.5,2023,356,26.99
-16.5,-62.5,2023,356,27.65
-18.5,-63.5,2023,357,29.21
-18.5,-62.5,2023,357,28.4
-17.5,-63.5,2023,357,28.51
-17.5,-62.5,2023,357,28.06
-16.5,-63.5,2023,357,27.02
-16.5,-62.5,2023,357,27.63
-18.5,-63.5,2023,358,30.06
-18.5,-62.5,2023,358,28.96
-17.5,-63.5,2023,358,29.4
-17.5,-62.5,2023,358,28.46
-16.5,-63.5,2023,358,27.86
-16.5,-62.5,2023,358,28.13
-18.5,-63.5,2023,359,29.56
-18.5,-62.5,2023,359,28.39
-17.5,-63.5,2023,359,28.88
-17.5,-62.5,2023,359,27.91
-16.5,-63.5,2023,359,27.96
-16.5,-62.5,2023,359,28.19
-18.5,-63.5,2023,360,26.9
-18.5,-62.5,2023,360,27.55
-17.5,-63.5,2023,360,26.17
-17.5,-62.5,2023,360,27.23
-16.5,-63.5,2023,360,26.91
-16.5,-62.5,2023,360,28.26
-18.5,-63.5,2023,361,29.79
-18.5,-62.5,2023,361,29.58
-17.5,-63.5,2023,361,29.08
-17.5,-62.5,2023,361,29.11
-16.5,-63.5,2023,361,28.76
-16.5,-62.5,2023,361,29.21
-18.5,-63.5,2023,362,30.23
-18.5,-62.5,2023,362,29.98
-17.5,-63.5,2023,362,29.52
-17.5,-62.5,2023,362,29.48
-16.5,-63.5,2023,362,29.25
-16.5,-62.5,2023,362,29.43
-18.5,-63.5,2023,363,29.96
-18.5,-62.5,2023,363,29.14
-17.5,-63.5,2023,363,29.49
-17.5,-62.5,2023,363,28.63
-16.5,-63.5,2023,363,28.14
-16.5,-62.5,2023,363,28.08
-18.5,-63.5,2023,364,28.84
