-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
-18.5,-63.5,2024,9,29.33
-18.5,-62.5,2024,9,28.15
-17.5,-63.5,2024,9,23.77
-17.5,-62.5,2024,9,25.04
-16.5,-63.5,2024,9,24.37
-16.5,-62.5,2024,9,25.84
-18.5,-63.5,2024,10,27.96
-18.5,-62.5,2024,10,26.08
-17.5,-63.5,2024,10,17.58
-17.5,-62.5,2024,10,15.66
-16.5,-63.5,2024,10,10.65
-16.5,-62.5,2024,10,11.01
-18.5,-63.5,2024,11,21.82
-18.5,-62.5,2024,11,19.05
-17.5,-63.5,2024,11,14.08
-17.5,-62.5,2024,11,16.21
-16.5,-63.5,2024,11,17.07
-16.5,-62.5,2024,11,16.42
-18.5,-63.5,2024,12,11.48
-18.5,-62.5,2024,12,11.52
-17.5,-63.5,2024,12,10.33
-17.5,-62.5,2024,12,7.1
-16.5,-63.5,2024,12,7.35
-16.5,-62.5,2024,12,5.23
-18.5,-63.5,2024,13,22.38
-18.5,-62.5,2024,13,22.56
-17.5,-63.5,2024,13,20.55
-17.5,-62.5,2024,13,22.14
-16.5,-63.5,2024,13,20.22
-16.5,-62.5,2024,13,18.84
-18.5,-63.5,2024,14,27.23
-18.5,-62.5,2024,14,25.37
-17.5,-63.5,2024,14,23.85
-17.5,-62.5,2024,14,22.83
-16.5,-63.5,2024,14,21.42
-16.5,-62.5,2024,14,22.23
-18.5,-63.5,2024,15,27.22
-18.5,-62.5,2024,15,25.57
-17.5,-63.5,2024,15,20.26
-17.5,-62.5,2024,15,22.14
-16.5,-63.5,2024,15,17.95
-16.5,-62.5,2024,15,17.65
-18.5,-63.5,2024,16,26.57
-18.5,-62.5,2024,16,24.48
-17.5,-63.5,2024,16,20.17
-17.5,-62.5,2024,16,21.25
-16.5,-63.5,2024,16,22.2
-16.5,-62.5,2024,16,24.58
-18.5,-63.5,2024,17,9.98
-18.5,-62.5,2024,17,18.08
-17.5,-63.5,2024,17,16.03
-17.5,-62.5,2024,17,18.75
-16.5,-63.5,2024,17,19.46
-16.5,-62.5,2024,17,22.85
-18.5,-63.5,2024,18,26.5
-18.5,-62.5,2024,18,24.84
-17.5,-63.5,2024,18,16.86
-17.5,-62.5,2024,18,21.32
-16.5,-63.5,2024,18,19.92
-16.5,-62.5,2024,18,22.92
-18.5,-63.5,2024,19,20.32
-18.5,-62.5,2024,19,24.85
-17.5,-63.5,2024,19,22.73
-17.5,-62.5,2024,19,24.02
-16.5,-63.5,2024,19,23.85
-16.5,-62.5,2024,19,25.38
-18.5,-63.5,2024,20,22.21
-18.5,-62.5,2024,20,21.78
-17.5,-63.5,2024,20,24.46
-17.5,-62.5,2024,20,22.7
-16.5,-63.5,2024,20,24.28
-16.5,-62.5,2024,20,24.89
-18.5,-63.5,2024,21,22.43
-18.5,-62.5,2024,21,21.9
-17.5,-63.5,2024,21,22.99
-17.5,-62.5,2024,21,23.22
-16.5,-63.5,2024,21,23.12
-16.5,-62.5,2024,21,22.64
-18.5,-63.5,2024,22,11.53
-18.5,-62.5,2024,22,14.3
-17.5,-63.5,2024,22,10.42
-17.5,-62.5,2024,22,11.18
-16.5,-63.5,2024,22,15.35
-16.5,-62.5,2024,22,13.56
-18.5,-63.5,2024,23,18.46
-18.5,-62.5,2024,23,17.7
-17.5,-63.5,2024,23,20.19
-17.5,-62.5,2024,23,20.66
