-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2MWET
-18.5,-62.5,2023,304,23.74
-18.0,-63.75,2023,304,20.57
-18.0,-63.125,2023,304,23.92
-18.0,-62.5,2023,304,24.79
-17.5,-63.75,2023,304,24.73
-17.5,-63.125,2023,304,25.49
-17.5,-62.5,2023,304,25.8
-17.0,-63.75,2023,304,26.23
-17.0,-63.125,2023,304,26.19
-17.0,-62.5,2023,304,25.97
-16.5,-63.75,2023,304,26.32
-16.5,-63.125,2023,304,26.21
-16.5,-62.5,2023,304,25.57
-18.5,-63.75,2023,305,19.93
-18.5,-63.125,2023,305,24.5
-18.5,-62.5,2023,305,25.48
-18.0,-63.75,2023,305,20.92
-18.0,-63.125,2023,305,24.82
-18.0,-62.5,2023,305,25.98
-17.5,-63.75,2023,305,24.74
-17.5,-63.125,2023,305,25.85
-17.5,-62.5,2023,305,26.2
-17.0,-63.75,2023,305,26.11
-17.0,-63.125,2023,305,26.32
-17.0,-62.5,2023,305,26.07
-16.5,-63.75,2023,305,26.12
-16.5,-63.125,2023,305,26.26
-16.5,-62.5,2023,305,25.46
-18.5,-63.75,2023,306,20.21
-18.5,-63.125,2023,306,25.08
-18.5,-62.5,2023,306,25.94
-18.0,-63.75,2023,306,21.01
-18.0,-63.125,2023,306,25.02
-18.0,-62.5,2023,306,26.08
-17.5,-63.75,2023,306,24.77
-17.5,-63.125,2023,306,25.89
-17.5,-62.5,2023,306,26.25
-17.0,-63.75,2023,306,26.27
-17.0,-63.125,2023,306,26.42
-17.0,-62.5,2023,306,26.2
-16.5,-63.75,2023,306,26.39
-16.5,-63.125,2023,306,26.37
-16.5,-62.5,2023,306,25.48
-18.5,-63.75,2023,307,15.56
-18.5,-63.125,2023,307,19.32
-18.5,-62.5,2023,307,19.87
-18.0,-63.75,2023,307,17.11
-18.0,-63.125,2023,307,19.87
-18.0,-62.5,2023,307,20.57
-17.5,-63.75,2023,307,21.04
-17.5,-63.125,2023,307,21.24
-17.5,-62.5,2023,307,21.36
-17.0,-63.75,2023,307,22.77
-17.0,-63.125,2023,307,22.24
-17.0,-62.5,2023,307,22.04
-16.5,-63.75,2023,307,23.52
-16.5,-63.125,2023,307,23.04
-16.5,-62.5,2023,307,22.45
-18.5,-63.75,2023,308,11.44
-18.5,-63.125,2023,308,14.7
-18.5,-62.5,2023,308,15.14
-18.0,-63.75,2023,308,12.69
-18.0,-63.125,2023,308,15.06
-18.0,-62.5,2023,308,15.99
-17.5,-63.75,2023,308,16.16
-17.5,-63.125,2023,308,16.37
-17.5,-62.5,2023,308,16.94
-17.0,-63.75,2023,308,17.55
-17.0,-63.125,2023,308,17.42
-17.0,-62.5,2023,308,17.82
-16.5,-63.75,2023,308,18.18
-16.5,-63.125,2023,308,18.37
-16.5,-62.5,2023,308,18.27
-18.5,-63.75,2023,309,15.77
-18.5,-63.125,2023,309,19.6
-18.5,-62.5,2023,309,20.28
-18.0,-63.75,2023,309,16.55
