-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT
-17.5,-63.5,2024,10,8.36
-17.5,-62.5,2024,10,7.47
-16.5,-63.5,2024,10,5.26
-16.5,-62.5,2024,10,5.39
-18.5,-63.5,2024,11,10.12
-18.5,-62.5,2024,11,9.36
-17.5,-63.5,2024,11,6.71
-17.5,-62.5,2024,11,7.74
-16.5,-63.5,2024,11,8.15
-16.5,-62.5,2024,11,7.8
-18.5,-63.5,2024,12,5.42
-18.5,-62.5,2024,12,5.92
-17.5,-63.5,2024,12,4.99
-17.5,-62.5,2024,12,3.54
-16.5,-63.5,2024,12,3.72
-16.5,-62.5,2024,12,2.7
-18.5,-63.5,2024,13,10.33
-18.5,-62.5,2024,13,10.88
-17.5,-63.5,2024,13,9.71
-17.5,-62.5,2024,13,10.44
-16.5,-63.5,2024,13,9.62
-16.5,-62.5,2024,13,9.0
-18.5,-63.5,2024,14,12.72
-18.5,-62.5,2024,14,12.17
-17.5,-63.5,2024,14,11.29
-17.5,-62.5,2024,14,10.86
-16.5,-63.5,2024,14,10.21
-16.5,-62.5,2024,14,10.59
-18.5,-63.5,2024,15,12.67
-18.5,-62.5,2024,15,12.26
-17.5,-63.5,2024,15,9.68
-17.5,-62.5,2024,15,10.52
-16.5,-63.5,2024,15,8.65
-16.5,-62.5,2024,15,8.44
-18.5,-63.5,2024,16,12.39
-18.5,-62.5,2024,16,11.85
-17.5,-63.5,2024,16,9.62
-17.5,-62.5,2024,16,10.07
-16.5,-63.5,2024,16,10.59
-16.5,-62.5,2024,16,11.59
-18.5,-63.5,2024,17,4.82
-18.5,-62.5,2024,17,9.08
-17.5,-63.5,2024,17,7.68
-17.5,-62.5,2024,17,9.01
-16.5,-63.5,2024,17,9.38
-16.5,-62.5,2024,17,10.87
-18.5,-63.5,2024,18,12.37
-18.5,-62.5,2024,18,11.98
-17.5,-63.5,2024,18,8.02
-17.5,-62.5,2024,18,10.14
-16.5,-63.5,2024,18,9.43
-16.5,-62.5,2024,18,10.84
-18.5,-63.5,2024,19,9.54
-18.5,-62.5,2024,19,12.03
-17.5,-63.5,2024,19,10.81
-17.5,-62.5,2024,19,11.42
-16.5,-63.5,2024,19,11.37
-16.5,-62.5,2024,19,12.01
-18.5,-63.5,2024,20,10.31
-18.5,-62.5,2024,20,10.59
-17.5,-63.5,2024,20,11.49
-17.5,-62.5,2024,20,10.63
-16.5,-63.5,2024,20,11.5
-16.5,-62.5,2024,20,11.73
-18.5,-63.5,2024,21,10.46
-18.5,-62.5,2024,21,10.73
-17.5,-63.5,2024,21,10.87
-17.5,-62.5,2024,21,11.03
-16.5,-63.5,2024,21,10.98
-16.5,-62.5,2024,21,10.73
-18.5,-63.5,2024,22,5.49
-18.5,-62.5,2024,22,7.2
-17.5,-63.5,2024,22,5.06
-17.5,-62.5,2024,22,5.44
-16.5,-63.5,2024,22,7.33
